web-scraper-order,web-scraper-start-url,nails_salon,link_to_selling_app,link_to_selling_app-href
"1647096008-23","https://baonail.com/index.php?country=US&state=AR","Venetian Nails And Spa","",""
"1647096008-33","https://baonail.com/index.php?country=US&state=AR","","xxxxxxxxxx","https://baonail.com/index.php?stores=Asian-Nails&id=40bbb77f3b"
"1647096008-36","https://baonail.com/index.php?country=US&state=AR","","Venetian Nails And Spa","https://baonail.com/index.php?stores=Venetian-Nails-And-Spa&id=71f085dac1"
"1647096008-24","https://baonail.com/index.php?country=US&state=AR","O P Nails","",""
"1647096008-31","https://baonail.com/index.php?country=US&state=AR","","Nail Top","https://baonail.com/index.php?stores=Nail-Top&id=203f1e3c4b"
"1647096008-32","https://baonail.com/index.php?country=US&state=AR","","D &T Nail Spa","https://baonail.com/index.php?stores=D--amp-T-Nail-Spa&id=2c1e0a8e01"
"1647096008-16","https://baonail.com/index.php?country=US&state=AR","Juso Nails & Spa","",""
"1647096008-25","https://baonail.com/index.php?country=US&state=AR","xxxxxxxxxx","",""
"1647096008-20","https://baonail.com/index.php?country=US&state=AR","xxxxxxxxxx","",""
"1647096008-39","https://baonail.com/index.php?country=US&state=AR","","Pro Nails & Spa","https://baonail.com/index.php?stores=Pro-Nails-Spa&id=A5cd8aa823"
"1647096008-15","https://baonail.com/index.php?country=US&state=AR","I Heart Nails","",""
"1647096008-34","https://baonail.com/index.php?country=US&state=AR","","Crystal Nails","https://baonail.com/index.php?stores=Crystal-Nails&id=1e6a631634"
"1647096008-37","https://baonail.com/index.php?country=US&state=AR","","O P Nails","https://baonail.com/index.php?stores=O-P-Nails&id=1833f87468"
"1647096008-17","https://baonail.com/index.php?country=US&state=AR","Happy Nails","",""
"1647096008-30","https://baonail.com/index.php?country=US&state=AR","","Happy Nails","https://baonail.com/index.php?stores=Happy-Nails&id=C35a9cd805"
"1647096008-29","https://baonail.com/index.php?country=US&state=AR","","Juso Nails & Spa","https://baonail.com/index.php?stores=Juso-Nails-Spa&id=Ec945d07e3"
"1647096008-35","https://baonail.com/index.php?country=US&state=AR","","xxxxxxxxxx","https://baonail.com/index.php?stores=Chic-Nails&id=4b0c9b37eb"
"1647096008-21","https://baonail.com/index.php?country=US&state=AR","Crystal Nails","",""
"1647096008-40","https://baonail.com/index.php?country=US&state=AR","","Essence Nails & Spa","https://baonail.com/index.php?stores=Essence-Nails-Spa&id=B14943a7c6"
"1647096008-26","https://baonail.com/index.php?country=US&state=AR","Pro Nails & Spa","",""
"1647096008-27","https://baonail.com/index.php?country=US&state=AR","Essence Nails & Spa","",""
"1647096008-38","https://baonail.com/index.php?country=US&state=AR","","xxxxxxxxxx","https://baonail.com/index.php?stores=Love-Nails&id=1c0e6539fa"
"1647096008-18","https://baonail.com/index.php?country=US&state=AR","Nail Top","",""
"1647096008-19","https://baonail.com/index.php?country=US&state=AR","D &T Nail Spa","",""
"1647096008-28","https://baonail.com/index.php?country=US&state=AR","","I Heart Nails","https://baonail.com/index.php?stores=I-Heart-Nails&id=930b75d483"
"1647096008-22","https://baonail.com/index.php?country=US&state=AR","xxxxxxxxxx","",""
